t,load_forecast_kw,solar_forecast_kw,wind_forecast_kw,solar_dispatch_kw,wind_dispatch_kw,battery_charge_kw,battery_discharge_kw,soc,diesel_kw,fuel_consumed_l,fuel_remaining_l,curtailment_kw,ens_kw
t1,157.5521,0.0000,0.0000,0.0000,0.0000,0.0000,77.1909,0.2937,0.0000,0.0000,1000.0000,0.0000,80.3612
t2,161.5208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2937,161.5208,45.3802,954.6198,0.0000,0.0000
t3,157.6403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2937,0.0000,0.0000,954.6198,0.0000,157.6403
t4,158.4842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2937,0.0000,0.0000,954.6198,0.0000,158.4842
t5,160.2044,0.0000,0.5512,0.0000,0.5512,0.0000,0.0000,0.2937,0.0000,0.0000,954.6198,0.0000,159.6532
t6,166.1427,0.0000,2.2380,0.0000,2.2380,0.0000,0.0000,0.2937,163.9047,45.9762,908.6436,0.0000,0.0000
t7,186.9430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2937,186.9430,51.7358,856.9079,0.0000,0.0000
t8,191.4686,0.0000,0.2620,0.0000,0.2620,0.0000,0.0000,0.2937,191.2066,52.8017,804.1062,0.0000,0.0000
t9,205.2519,0.0000,1.2420,0.0000,1.2420,0.0000,4.0099,0.2726,200.0000,55.0000,749.1062,0.0000,0.0000
t10,206.6669,0.2948,2.9025,0.2948,2.9025,0.0000,3.4696,0.2544,200.0000,55.0000,694.1062,0.0000,0.0000
t11,210.3209,1.2773,3.1290,1.2773,3.1290,0.0000,0.0000,0.2544,200.0000,55.0000,639.1062,0.0000,5.9146
t12,212.1240,0.9443,4.9962,0.9443,4.9962,0.0000,0.0000,0.2544,200.0000,55.0000,584.1062,0.0000,6.1835
t13,214.6222,1.7821,0.0000,1.7821,0.0000,0.0000,0.0000,0.2544,200.0000,55.0000,529.1062,0.0000,12.8401
t14,210.4732,1.8809,0.0000,1.8809,0.0000,0.0000,0.0000,0.2544,200.0000,55.0000,474.1062,0.0000,8.5923
t15,210.7702,0.4406,0.0000,0.4406,0.0000,0.0000,10.3296,0.2000,200.0000,55.0000,419.1062,0.0000,0.0000
t16,215.3755,0.6123,0.0000,0.6123,0.0000,0.0000,0.0000,0.2000,200.0000,55.0000,364.1062,0.0000,14.7632
t17,210.6416,0.0000,0.2295,0.0000,0.2295,0.0000,0.0000,0.2000,200.0000,55.0000,309.1062,0.0000,10.4121
t18,206.3970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,200.0000,55.0000,254.1062,0.0000,6.3970
t19,204.1329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,200.0000,55.0000,199.1062,0.0000,4.1329
t20,193.1693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,190.1034,52.5258,146.5804,0.0000,3.0659
t21,187.0434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,187.0434,51.7608,94.8195,0.0000,0.0000
t22,176.3665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,94.8195,0.0000,176.3665
t23,169.4090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,169.4090,47.3522,47.4673,0.0000,0.0000
t24,169.8691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,169.8691,47.4673,0.0000,0.0000,0.0000
